Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,PnL_Pct,Reason
NVDA,2023-10-27,2023-11-03,40.47389221191406,44.975982666015625,10.923443306439177,SIGNAL_EXIT
NVDA,2023-12-05,2023-12-08,46.540069580078125,47.47954559326172,1.8186390387042832,SIGNAL_EXIT
NVDA,2023-12-12,2023-12-13,47.63046646118164,48.06122589111328,0.7043779369297282,SIGNAL_EXIT
NVDA,2024-04-16,2024-04-17,87.37042236328125,83.99214172363281,-4.066618185272974,STOP_LOSS
NVDA,2024-04-22,2024-04-23,79.47744750976562,82.38097381591797,3.4532707039888,SIGNAL_EXIT
NVDA,2024-07-30,2024-08-01,103.68561553955078,109.16327667236328,5.082951838891337,SIGNAL_EXIT
NVDA,2024-08-02,2024-08-05,107.2240982055664,100.40702056884766,-6.557785004308714,STOP_LOSS
NVDA,2024-08-06,2024-08-07,104.20540618896484,98.86769104003906,-5.3223015620191845,STOP_LOSS
NVDA,2024-08-08,2024-08-09,104.92509460449219,104.70519256591797,-0.4095800241144639,SIGNAL_EXIT
NVDA,2024-09-09,2024-09-12,106.42445373535156,119.0992202758789,11.709637395974813,SIGNAL_EXIT
NVDA,2024-11-29,2024-12-02,138.2026824951172,138.58255004882812,0.07486264872200182,SIGNAL_EXIT
NVDA,2024-12-11,2024-12-12,139.2718963623047,137.3024444580078,-1.6141057569672947,SIGNAL_EXIT
